gene_name	nm_name
CARS1	NM_001014437
CASP7	NM_001227
CASP8	NM_001080125
CAV3	NM_033337
CBFA2T3	NM_005187
CBFB	NM_022845
CBL	NM_005188
CBLB	NM_170662
CBLC	NM_012116
CCDC150	NM_001080539
CCDC168	NM_001146197
CCL1	NM_002981
CCL14	NM_032963
CCL2	NM_002982
CCL20	NM_004591
CCL25	NM_005624
CCL7	NM_006273
CCL8	NM_005623
CCN6	NM_198239
CCNA1	NM_003914
CCNA2	NM_001237
CCNB3	NM_033031
CCND1	NM_053056
CCND2	NM_001759
CCND3	NM_001760
CCNE1	NM_001238
CCNQ	NM_152274
CCR4	NM_005508
CCR7	NM_001838
CD22	NM_001771
CD274	NM_014143
CD276	NM_001024736
CD28	NM_006139
CD34	NM_001025109
CD36	NM_001001548
CD40	NM_001250
CD70	NM_001252
CD74	NM_001025159
CD79A	NM_001783
CD79B	NM_001039933
CD80	NM_005191
CD86	NM_175862
CD93	NM_012072
CDA	NM_001785
CDC25A	NM_001789
CDC25B	NM_021873
CDC25C	NM_001790
CDC37	NM_007065
CDC42	NM_001791
CDC73	NM_024529
CDH1	NM_004360
CDH11	NM_001797
CDH16	NM_004062
CDH18	NM_004934
CDH2	NM_001792
CDH5	NM_001795
CDH8	NM_001796
CDK1	NM_001786
CDK12	NM_016507
CDK16	NM_006201
CDK2	NM_001798
CDK4	NM_000075
CDK5	NM_004935
CDK5RAP1	NM_016408
CDK6	NM_001145306
CDK7	NM_001799
CDK8	NM_001260
CDK9	NM_001261
CDKN1A	NM_078467
CDKN1B	NM_004064
CDKN1C	NM_001122630
CDKN2A	NM_000077
CDKN2B	NM_004936
CDKN2C	NM_078626
CDS1	NM_001263
CDT1	NM_030928
CDX1	NM_001804
CEBPA	NM_004364
CELSR1	NM_001378328
CELSR3	NM_001407
CENPA	NM_001809
CENPE	NM_001813
CENPJ	NM_018451
CENPP	NM_001012267
CEP290	NM_025114
CETP	NM_000078
CFAP46	NM_001200049
CFTR	NM_000492
CGAS	NM_138441
CHD1	NM_001270
CHD2	NM_001271
CHD4	NM_001273
CHD5	NM_015557
CHD6	NM_032221
CHD7	NM_017780
CHEK1	NM_001274
CHEK2	NM_007194
CHML	NM_001381853
CHRNA4	NM_000744
CHUK	NM_001278
CIC	NM_015125
CIITA	NM_000246
CILK1	NM_014920
CLASP2	NM_001365631
CLDN18	NM_016369
CLEC19A	NM_001256720
CLIP1	NM_001247997
CLSPN	NM_022111
CLTC	NM_004859
CLTCL1	NM_007098
CMTM3	NM_181553
CMTR2	NM_018348
CNOT3	NM_014516
CNR1	NM_016083
CNTNAP4	NM_033401
CNTNAP5	NM_001367498
CNTRL	NM_007018
COBLL1	NM_001365672
COL14A1	NM_021110
COL1A1	NM_000088
COL21A1	NM_030820
COL22A1	NM_152888
COL2A1	NM_001844
COP1	NM_022457
COPG1	NM_016128
CPLANE1	NM_001384732
CPS1	NM_001875
CRBN	NM_016302
CREB3L1	NM_052854
CREB3L2	NM_194071
CREBBP	NM_004380
CRIP1	NM_001311
CRK	NM_016823
CRKL	NM_005207
CRLF2	NM_022148
CRTC1	NM_015321
CRTC3	NM_022769
CRX	NM_000554
CSDE1	NM_001242891
CSF1R	NM_005211
CSF3R	NM_000760
CSMD1	NM_033225
CSMD2	NM_001281956
CSMD3	NM_198123
CSNK1E	NM_152221
CSNK2A1	NM_177559
CTCF	NM_006565
CTCFL	NM_001386993
CTLA4	NM_005214
CTNNA1	NM_001903
CTNNA2	NM_001282597
CTNNB1	NM_001904
CTR9	NM_014633
CUBN	NM_001081
CUL3	NM_003590
CUL4A	NM_001008895
CUL4B	NM_001079872
CUL5	NM_003478
CUX1	NM_181552
CWH43	NM_025087
CXCL10	NM_001565
CXCL9	NM_002416
CXCR4	NM_003467
CYB5A	NM_148923
CYLD	NM_001042355
CYP17A1	NM_000102
CYP19A1	NM_000103
CYP2C8	NM_000770
CYP2C9	NM_000771
CYP2D6	NM_000106
CYP3A4	NM_017460
CYP4F3	NM_000896
CYSLTR2	NM_020377
DAXX	NM_001141970
DCAF4L2	NM_152418
DCLRE1C	NM_001033855
DCTN1	NM_004082
DCUN1D1	NM_020640
DDR1	NM_001297654
DDR2	NM_006182
DDX10	NM_004398
DDX3X	NM_001356
DDX41	NM_016222
DDX5	NM_004396
DEK	NM_003472
DEPDC5	NM_001242896
DGKB	NM_001350709
DGKG	NM_001346
DIABLO	NM_001371333
DICER1	NM_177438
DIP2B	NM_173602
DIS3	NM_014953
DKK2	NM_014421
DLG1	NM_001366207
DLL1	NM_005618
DMC1	NM_007068
DMD	NM_004006
DNA2	NM_001080449
DNAH10	NM_001372106
DNAH11	NM_001277115
DNAH17	NM_173628
DNAH2	NM_020877
DNAH3	NM_001347886
DNAH5	NM_001369
DNAH6	NM_001370
DNAH7	NM_018897
DNAH8	NM_001206927
DNAH9	NM_001372
DNAJB1	NM_006145
DNAJC3	NM_006260
DNAL4	NM_005740
DNM1	NM_004408
DNM1P47	NG_009149
DNM2	NM_001005361
DNMT1	NM_001379
DNMT3A	NM_022552
DNMT3B	NM_006892
DOCK2	NM_004946
DOCK3	NM_004947
DOCK9	NM_001366683
DOP1A	NM_015018
DOPEY1	NM_015018
DOT1L	NM_032482
DPP10	NM_020868
DPYD	NM_000110
DROSHA	NM_013235
DSP	NM_004415
DST	NM_001723
DTD1	NM_080820
DTX1	NM_004416
DUSP22	NM_020185
DUSP4	NM_001394
DUSP7	NM_001947
DYNC2H1	NM_001080463
DYRK1A	NM_001347721
E2F3	NM_001949
E2F5	NM_001951
EBF1	NM_024007
ECE2	NM_001100121
ECT2L	NM_001077706
EED	NM_003797
EGF	NM_001963
EGFL7	NM_201446
EGFR	NM_005228
EGR1	NM_001964
EGR2	NM_000399
EHMT2	NM_006709
EIF1AX	NM_001412
EIF4A2	NM_001967
EIF4E	NM_001968
ELF3	NM_004433
ELK4	NM_001973
ELN	NM_000501
ELOC	NM_005648
EME1	NM_152463
EME2	NM_001257370
EML4	NM_019063
EMSY	NM_001300942
EP300	NM_001429
EP400	NM_015409
EPAS1	NM_001430
EPCAM	NM_002354
EPHA1	NM_005232
EPHA2	NM_004431
EPHA3	NM_005233
EPHA4	NM_004438
EPHA5	NM_004439
EPHA7	NM_004440
EPHB1	NM_004441
EPHB2	NM_017449
EPHB4	NM_004444
EPHB6	NM_004445
EPOR	NM_000121
EPS15	NM_001981
EPSTI1	NM_033255
ERBB2	NM_004448
ERBB2IP	NM_001253697
ERBB3	NM_001982
ERBB4	NM_005235
ERBIN	NM_001253697
ERC1	NM_178040
ERCC1	NM_001983
ERCC2	NM_000400
ERCC3	NM_000122
ERCC4	NM_005236
ERCC5	NM_000123
EREG	NM_001432
ERF	NM_006494
ERG	NM_182918
ERRFI1	NM_018948
ESR1	NM_000125
ESX1	NM_153448
ETNK1	NM_018638
ETS1	NM_001143820
ETS2	NM_005239
ETV1	NM_001163147
ETV4	NM_001079675
ETV5	NM_004454
ETV6	NM_001987
EVC2	NM_147127
EWSR1	NM_005243
EXO1	NM_130398
EXT1	NM_000127
EXT2	NM_207122
EYA1	NM_000503
EYA2	NM_005244
EYA3	NM_001990
EYA4	NM_004100
EYS	NM_001142800
EZH1	NM_001991
EZH2	NM_004456
EZHIP	NM_203407
EZR	NM_001111077
F8	NM_000132
FAAH	NM_001441
FAAP20	NM_182533
FAF1	NM_007051
FAM129B	NM_022833.4
FAM135B	NM_015912
FAM149B1	NM_173348
FAM170B	NM_001164484
FAM175A	NM_139076
FAM46C	NM_017709
FAM47C	NM_001013736
FAN1	NM_014967
FANCA	NM_000135
FANCB	NM_001018113
FANCC	NM_000136
FANCD2	NM_001018115
FANCE	NM_021922
FANCF	NM_022725
FANCG	NM_004629
FANCI	NM_001113378
FANCL	NM_018062
FANCM	NM_020937
FAS	NM_000043
FASN	NM_004104
FAT1	NM_005245
FAT2	NM_001447
FAT3	NM_001367949
FAT4	NM_001291303
FBN2	NM_001999
FBN3	NM_032447
FBXW7	NM_033632
FCGBP	NM_003890
FCGR2B	NM_001394477
FCRL4	NM_031282
FEN1	NM_004111
FER	NM_005246
FER1L6	NM_001039112
FES	NM_002005
FGF10	NM_004465
FGF12	NM_004113
FGF14	NM_004115
FGF19	NM_005117
FGF23	NM_020638
FGF3	NM_005247
FGF4	NM_002007
FGF6	NM_020996
FGF7	NM_002009
FGFR1	NM_023110
FGFR2	NM_000141
FGFR3	NM_000142
FGFR4	NM_213647
FGR	NM_005248
FH	NM_000143
FHIT	NM_002012
FIP1L1	NM_030917
FKBP9	NM_007270
FLCN	NM_144997
FLG	NM_002016
FLI1	NM_002017
FLNA	NM_001110556
FLT1	NM_002019
FLT3	NM_004119
FLT4	NM_182925
FOXA1	NM_004496
FOXL2	NM_023067
FOXM1	NM_021953
FOXO1	NM_002015
FOXO3	NM_001455
FOXP1	NM_001244814
FOXQ1	NM_033260
FPR1	NM_002029
FRAS1	NM_025074
FREM2	NM_207361
FRG1	NM_004477
FRK	NM_002031
FRMPD1	NM_014907
FRS2	NM_001278356
FSIP1	NM_152597
FSIP2	NM_173651
FUBP1	NM_003902
FURIN	NM_001289823
FUT9	NM_006581
FYN	NM_153047
FZD10	NM_007197
GAB2	NM_080491
GABRA6	NM_000811
GALNT12	NM_024642
GATA1	NM_002049
GATA2	NM_032638
GATA3	NM_002051
GATA4	NM_001308093
GATA6	NM_005257
GCNT4	NM_001366737
GDF10	NM_004962
GEN1	NM_001130009
GGT1	NM_001288833
GHRL	NM_016362
GID4	NM_024052
GLI1	NM_005269
GLIS2	NM_032575
GLIS3	NM_001042413
GLMN	NM_053274
GLRB	NM_000824
GLRX	NM_001118890
GLRX2	NM_197962
GMFG	NM_004877
GMPS	NM_003875
GNA11	NM_002067
GNA13	NM_006572
GNAQ	NM_002072
GNAS	NM_000516
GOLGA6L10	NM_001164465
GOLGA6L17P	NM_001304388
GOLGA6L2	NM_018178
GOLPH3L	NM_018178
GPC3	NM_004484
GPHN	NM_020806
GPI	NM_000175
GPR112	NM_153834
GPR32	NM_001506
GPR98	NM_032119
GPS2	NM_004489
GRB2	NM_002086
GRB7	NM_005310
GREM1	NM_013372
GRIA3	NM_000828
GRIK2	NM_021956
GRIN2A	NM_001134407
GRM3	NM_000840
GRM7	NM_000844
GSK3A	NM_019884
GSK3B	NM_002093
GSTM1	NM_000561
GSTP1	NM_000852
GSTT1	NM_000853
GTSE1	NM_016426
GYPB	NM_002100
GZMB	NM_004131
H2AX	NM_002105
H2BC1	NM_170610
H2BC10	NM_003525
H2BC11	NM_021058
H2BC12	NM_080593
H2BC13	NM_003519
H2BC14	NM_003521
H2BC15	NM_003520
H2BC17	NM_003527
H2BC3	NM_021062
H2BC4	NM_003526
H2BC5	NM_021063
H2BC6	NM_003523
H2BC7	NM_003522
H2BC8	NM_003518
H2BC9	NM_003524
H2BU1	NM_175055
H3-3A	NM_002107
H3-4	NM_003493
H3C2	NM_003537
H3C3	NM_003531
H3F3A	NM_002107
H3F3B	NM_005324
H3F3C	NM_001013699
H4-16	NM_175054
H4C1	NM_003538
H4C11	NM_021968
H4C12	NM_003541
H4C13	NM_003546
H4C14	NM_003548
H4C15	NM_001034077
H4C2	NM_003544
H4C3	NM_003542
H4C4	NM_003539
H4C5	NM_003545
H4C6	NM_003540
H4C8	NM_003543
H4C9	NM_003495
HADHB	NM_000183
HAUS2	NM_018097
HBEGF	NM_001945
HDAC1	NM_004964
HDAC2	NM_001527
HDAC4	NM_006037
HDAC5	NM_005474
HDAC6	NM_006044
HDAC7	NM_015401
HDAC9	NM_178425
HERC1	NM_003922
HERC2	NM_004667
HGF	NM_000601
HIF1A	NM_001530
HIP1	NM_005338
HIPK2	NM_022740
HIRA	NM_003325
HIST1H1C	NM_005319
HIST1H2AG	NM_021064
HIST1H2BC	NM_003518
HIST1H2BD	NM_021063
HIST1H2BK	NM_080593
HIST1H3A	NM_003529
HIST1H3B	NM_003537
HIST1H3C	NM_003531
HIST1H3D	NM_003530
HIST1H3E	NM_003532
HIST1H3F	NM_021018
HIST1H3G	NM_003534
HIST1H3H	NM_003536
HIST1H3I	NM_003533
HIST1H3J	NM_003533
HIST2H3C	NM_021059
HIST2H3D	NM_001123375
HIST3H3	NM_003493
HIVEP3	NM_024503
HK2	NM_000189
HK3	NM_002115
HLA-A	NM_001242758
HLA-B	NM_005514
HLA-DRA	NM_019111
HLA-DRB5	NM_002125
HMCN1	NM_031935
HMGB1	NM_002128
HMGB3	NM_005342
HMGCR	NM_000859
HNF1A	NM_000545
HNF1B	NM_000458
HNF4A	NM_175914
HOMEZ	NM_020834
HOXA3	NM_153631
HOXB13	NM_006361
HRAS	NM_005343
HSD3B1	NM_000862
HSP90AA1	NM_005348
HSP90AB1	NM_007355
HSP90B1	NM_003299
HSPA4	NM_002154
HSPB1	NM_001540
HSPG2	NM_005529
HTRA1	NM_002775
HUS1	NM_004507
HUWE1	NM_031407
HYDIN	NM_001270974
ICOSLG	NM_015259
ID1	NM_002165
ID3	NM_002167
IDH1	NM_005896
IDH2	NM_002168
IDO1	NM_002164
IFNGR1	NM_000416
IGF1	NM_000618
IGF1R	NM_000875
IGF2	NM_001127598
IGF2R	NM_000876
IKBKB	NM_001556
IKBKE	NM_014002
IKZF1	NM_006060
IKZF2	NM_001387220
IKZF3	NM_012481
IL10	NM_000572
IL12RB2	NM_001374259
IL13RA1	NM_001560
IL13RA2	NM_000640
IL15RA	NM_002189
IL17F	NM_052872
IL2	NM_000586
IL21R	NM_181078
IL2RG	NM_000206
IL34	NM_001393494
IL3RA	NM_002183
IL4R	NM_000418
IL6ST	NM_002184
IL7R	NM_002185
ILF3	NM_017620
INHA	NM_002191
INHBA	NM_002192
INPP4A	NM_001134224
INPP4B	NM_001101669
INPP5D	NM_001017915
INPPL1	NM_001567
INSR	NM_000208
INSRR	NM_014215
IPMK	NM_152230
IRAK1	NM_001569
IRF1	NM_002198
IRF2	NM_002199
IRF2BP1	NM_015649
IRF3	NM_001571
IRF4	NM_002460
IRF8	NM_002163
IRS1	NM_005544
IRS2	NM_003749
IRS4	NM_001379150
IRX4	NM_016358
ITCH	NM_031483
ITGAL	NM_002209
ITGB3	NM_000212
ITGB4	NM_000213
ITIH5	NM_030569
ITK	NM_005546
JAG1	NM_000214
JAK1	NM_002227
JAK2	NM_004972
JAK3	NM_000215
JARID2	NM_004973
JPH4	NM_001146028
JUN	NM_002228
KAT5	NM_182710
KAT6A	NM_006766
KAT6B	NM_012330
KAT8	NM_032188
KCNB2	NM_004770
KCND3	NM_001378969
KCNJ12	NM_021012
KCNJ14	NM_013348
KCNJ2	NM_000891
KCNJ3	NM_002239
KCNJ5	NM_000890
KCNJ6	NM_002240
KCNJ8	NM_004982
KCNJ9	NM_004983
KDM1B	NM_001364614
KDM2B	NM_032590
KDM4A	NM_014663
KDM4B	NM_015015
KDM4C	NM_015061
KDM5A	NM_001042603
KDM5C	NM_004187
KDM6A	NM_021140
KDR	NM_002253
KEAP1	NM_203500
KEL	NM_000420
KIAA0586	NM_001329943
KIAA1217	NM_019590
KIAA1549L	NM_012194
KIAA2018	NM_001009899
KIAA2022	NM_001008537
KIF11	NM_004523
KIF14	NM_014875
KIF18A	NM_031217
KIF20B	NM_001284259
KIF26B	NM_018012
KIF2C	NM_006845
KIF5B	NM_004521
KIF6	NM_145027
KISS1R	NM_032551
KIT	NM_000222
KLF15	NM_014079
KLF2	NM_016270
KLF4	NM_004235
KLF5	NM_001730
KLF6	NM_001300
KLHL6	NM_130446
KLK10	NM_145888
KLK2	NM_005551
KLLN	NM_001126049
KMT2A	NM_001197104
KMT2B	NM_014727
KMT2C	NM_170606
KMT2D	NM_003482
KNL1	NM_144508
KNSTRN	NM_033286
KPNA2	NM_002266
KRAS	NM_004985
KRTAP5-4	NM_001347674
KSR2	NM_173598
KTN1	NM_001079521
LACTB2	NM_016027
LAMA1	NM_005559
LAMA2	NM_000426
LAMA5	NM_005560
LATS1	NM_004690
LATS2	NM_014572
LAYN	NM_178834
LBR	NM_002296
LCK	NM_005356
LEPR	NM_002303
LIFR	NM_001127671
LIG3	NM_013975
LIG4	NM_206937
LMNB1	NM_005573
LMO1	NM_002315
LPCAT4	NM_153613
LPL	NM_000237
LPP	NM_001375462
LRIG3	NM_153377
LRP1	NM_002332
LRP1B	NM_018557
LRP2	NM_004525
LRP5	NM_002335
LRP6	NM_002336
LRRC58	NM_001099678
LRRK2	NM_198578
LSM14A	NM_015578
LTK	NM_002344
LTN1	NM_015565
LYN	NM_002350
LYST	NM_000081
LZTR1	NM_006767
MACF1	NM_001394062
MADCAM1	NM_130760
MAF	NM_005360
MAFA	NM_201589
MAGEB3	NM_002365
MAGEB6	NM_173523
MAGED1	NM_006986
MAGI2	NM_012301
MAGI3	NM_001142782
MALAT1	NR_002819
MALT1	NM_006785
MAML2	NM_032427
MAP1A	NM_002373
MAP1B	NM_005909
MAP2	NM_001375505
MAP2K1	NM_002755
MAP2K2	NM_030662
MAP2K4	NM_003010
MAP3K1	NM_005921
MAP3K13	NM_004721
MAP3K14	NM_003954
MAP3K2	NM_001371910
MAP3K21	NM_032435
MAP3K4	NM_005922
MAP3K5	NM_005923
MAP3K6	NM_004672
MAP3K7	NM_145331
MAP4	NM_001385682
MAP4K2	NM_004579
MAP4K3	NM_003618
MAP4K4	NM_001395002
MAP4K5	NM_006575
MAP7	NM_003980
MAPK1	NM_002745
MAPK10	NM_138982
MAPK13	NM_002754
MAPK14	NM_139012
MAPK3	NM_002746
MAPK4	NM_002747
MAPK6	NM_002748
MAPK7	NM_002749
MAPK8	NM_001323329
MAPKAP1	NM_001006617
MAPKBP1	NM_014994
MAPRE2	NM_014268
MAPRE3	NM_012326
MAPT	NM_001377265
MAST2	NM_015112
MAX	NM_002382
MBD1	NM_015846
MBD6	NM_052897
MCAM	NM_006500
MCL1	NM_021960
MCM2	NM_004526
MCM4	NM_182746
MCM6	NM_005915
MCRS1	NM_006337
MDC1	NM_014641
MDK	NM_002391
MDM2	NM_002392
MDM4	NM_002393
MDN1	NM_014611
MECOM	NM_001105078
MECP2	NM_004992
MED12	NM_005120
MED23	NM_004830
MEF2B	NM_001145785
MELK	NM_014791
MEN1	NM_130799
MERTK	NM_006343
MET	NM_000245
MGA	NM_001164273
MGAM	NM_004668
MGLL	NM_007283
MGMT	NM_002412
MIB1	NM_020774
MICA	NM_001177519
MID1	NM_000381
MIDEAS	NM_001367710
MIEN1	NM_032339
MIR1181	NR_031592
MIR4741	NR_039895
MIR6838	NR_106897
MITF	NM_000248
MKI67	NM_002417
MKNK1	NM_001135553
MLH1	NM_000249
MLH3	NM_001040108
MLLT1	NM_005934
MLLT10	NM_001195626
MLLT4	NM_001386888
MLLT6	NM_005937
MMP1	NM_002421
MMP14	NM_004995
MMP2	NM_004530
MMP3	NM_002422
MMP9	NM_004994
MN1	NM_002430
MORC4	NM_024657
MPDZ	NM_001378778
MPL	NM_005373
MRC2	NM_006039
MRE11	NM_005591
MRE11A	NM_005591
MRTFA	NM_020831
MSH2	NM_000251
MSH3	NM_002439
MSH4	NM_002440
MSH6	NM_000179
MSI1	NM_002442
MSI2	NM_138962
MSL2	NM_018133
MST1	NM_020998
MST1R	NM_002447
MTAP	NM_002451
MTHFR	NM_005957
MTMR14	NM_001077525
MTOR	NM_004958
MTR	NM_000254
MTRR	NM_002454
MTUS2	NM_001033602
MUC1	NM_001204285
MUC16	NM_024690
MUC17	NM_001040105
MUC2	NM_002457
MUC4	NM_018406
MUC5B	NM_002458
MUC6	NM_005961
MUS81	NM_025128
MUTYH	NM_001048171
MYB	NM_001130173
MYC	NM_002467
MYCL	NM_001033082
MYCN	NM_005378
MYD88	NM_002468
MYH11	NM_001040113
MYH7	NM_000257
MYH9	NM_002473
MYO18A	NM_078471
MYO5A	NM_001382347
MYOD1	NM_002478
NAB2	NM_005967
NACA	NM_001365896
NAV3	NM_001024383
NBEA	NM_001385012
NBN	NM_002485
NCOA1	NM_003743
NCOA2	NM_006540
NCOA3	NM_181659
NCOA4	NM_001145263
NCOR1	NM_006311
NCOR2	NM_006312
NDUFV2	NM_021074
NEB	NM_001164507
NECTIN4	NM_030916
NEDD4L	NM_001144967
NEFH	NM_021076
NEGR1	NM_173808
NEK2	NM_002497
NELL2	NM_001145108
NEURL1B	NM_001142651
NEXMIF	NM_001008537
NF1	NM_000267
NF2	NM_000268
NFATC2	NM_012340
NFE2	NM_001136023
NFE2L2	NM_006164
NFIB	NM_001190737
NFKB1	NM_003998
NFKB2	NM_001322934
NFKBIA	NM_020529
NFKBIE	NM_004556
NHEJ1	NM_024782
NHS	NM_001291867
NID1	NM_002508
NIN	NM_020921
NIPBL	NM_133433
NKX2-1	NM_001079668
NKX3-1	NM_006167
NOD1	NM_006092
NOL3	NM_001185057
NONO	NM_007363
NOS1	NM_000620
NOS2	NM_000625
NOS3	NM_000603
NOTCH1	NM_017617
NOTCH2	NM_024408
NOTCH3	NM_000435
NOTCH4	NM_004557
NPM1	NM_002520
NQO1	NM_000903
NR1H2	NM_007121
NR1H4	NM_001206979
NR2F2	NM_021005
NR3C1	NM_000176
NR4A3	NM_006981
NRAS	NM_002524
NRG1	NM_013964
NRG2	NM_004883
NRG3	NM_001010848
NRG4	NM_138573
NRXN1	NM_001330078
NRXN2	NM_015080
NSD1	NM_022455
NSD2	NM_001042424
NSD3	NM_023034
NT5C2	NM_001134373
NTHL1	NM_002528
NTRK1	NM_002529
NTRK2	NM_006180
NTRK3	NM_001012338
NUF2	NM_031423
NUMA1	NM_006185
NUP153	NM_005124
NUP214	NM_005085
NUP93	NM_014669
NUP98	NM_016320
NUTM1	XM_011521429
OBSCN	NM_001386125
ODF1	NM_024410
OGG1	NM_002542
OGN	NM_014057
OLFM1	NM_001282611
OLFM3	NM_058170
OLR1	NM_002543
OMG	NM_002544
OPCML	NM_001012393
OR2G3	NM_001001914
OR2L2	NM_001385855
OR4C5	NM_001348223
OR51G1	NM_001005237
OR6A2	NM_003696
OTUD7B	NM_020205
P2RY8	NM_178129
PAK1	NM_002576
PAK2	NM_002577
PAK3	NM_002578
PAK5	NM_177990
PALB2	NM_024675
PALLD	NM_001166108
PALM	NM_002579
PARK2	NM_004562
PARP1	NM_001618
PARP2	NM_001042618
PARP3	NM_001003931
PARP4	NM_006437
PASK	NM_015148
PATZ1	NM_014323
PAX3	NM_181458
PAX5	NM_016734
PAX7	NM_001135254
PAX8	NM_003466
PAXIP1	NM_007349
PBK	NM_018492
PBRM1	NM_018313
PBX1	NM_002585
PC	NM_001040716
PCDH11X	NM_032968
PCDH11Y	NM_001395587
PCDH15	NM_033056
PCDH17	NM_001040429
PCDHA5	NM_018908
PCDHB5	NM_015669
PCED1A	NM_022760
PCID2	NM_001127202
PCLO	NM_033026
PCM1	NM_006197
PCMTD1	NM_052937
PCNA	NM_182649
PCNX4	NM_001330177
PDCD1	NM_005018
PDCD11	NM_014976
PDCD1LG2	NM_025239
PDE4B	NM_002600
PDE4C	NM_001098818
PDE4D	NM_001104631
PDE4DIP	NM_001395426
PDGFB	NM_002608
PDGFC	NM_016205
PDGFRA	NM_006206
PDGFRB	NM_002609
PDK1	NM_002610
PDPK1	NM_002613
PDS5B	NM_015032
PECAM1	NM_000442
PEG10	NM_001040152
PER1	NM_002616
PFKFB3	NM_004566
PGAP3	NM_033419
PGR	NM_000926
PHF2	NM_005392
PHF6	NM_001015877
PHKA2	NM_000292
PHOX2B	NM_003924
PI4K2A	NM_018425
PI4KB	NM_001369623
PIAS4	NM_015897
