gene_symbol	gene_length
OSTC	3560
MIR4641	66
MFSD5	6113
RNU1-150P	162
RN7SL240P	286
MIR4642	82
PGBD4P8	562
MIR4643	78
MFSD6	16331
NOP53-AS1	540
MIR4644	84
COL9A1	37124
ATPSCKMT	8384
MIR4645	77
COL9A2	12194
MFSD8	144890
COL9A3	13850
C5orf64-AS1	2896
MIR4646	63
MFSD9	13712
SNORD105B	79
SNRNP35	6663
MIR4647	80
AKR1A1	12197
KRASP1	552
MIR4648	72
EXOSC1	8389
PRSS41	2280
MIR4649	64
EXOSC2	71263
NUGGC	4304
MTIF2P1	1548
OR7E43P	920
EXOSC3	17354
HSP90B2P	2384
EXOSC4	2513
EXOSC5	6710
OSTN	6365
EXOSC6	5163
EXOSC7	10066
EXOSC8	88205
RN7SL211P	276
UGT1A11P	849
PRSS47	1445
FAM224A	2031
NANOGNB	1731
PRSS48	1549
EXOSC9	14913
FAM224B	2032
CEP131	18391
RN7SL477P	286
SLC7A5P1	538
COX6CP1	215
SLC7A5P2	536
RPL17P33	554
CEP135	14799
COX6CP2	225
LGMN	17800
COL26A1	6471
RPL17P34	555
COX6CP3	223
OR7E14P	7389
RPL17P35	549
COX6CP4	228
AURKAP1	1212
LRRTM4-AS1	1000
PLXND1	21114
RPL17P36	549
MIR301A	86
RNU2-65P	185
RPL17P37	548
AURKAP2	333
MDS2	3908
COX6CP5	228
MIR301B	78
CA5AP1	576
G2E3	25335
MIR3158-1	81
MRPS5P3	166
COX6CP6	228
RPS5P2	640
COX6CP7	208
MRPS5P4	325
MIR3158-2	81
RPS5P3	616
HSFY5P	309
MRPS30	7272
RPS23P10	486
COX6CP8	226
MRPS31	3363
IMPA1	12379
RNU6-571P	107
TOR3A	6884
IMPA2	11154
SLC22A31	8334
NPY2R	7137
TMEM74B	4188
MRPS33	9447
RN7SL448P	295
MRPS34	2751
RPS5P7	608
RN7SL316P	272
MRPS35	5317
RPS5P8	610
MRPS36	4301
MYMK	1362
ETAA1	16691
FOLH1	19617
MIR5090	85
RNU2-36P	191
TMEM160	655
MIR5091	93
RPL29P2	1117
NR2C1	20937
MIR5092	88
TRIM53CP	1358
MAP4K1	16909
MIR5093	100
RPL29P3	463
RFX3-AS1	4198
NR2C2	32322
RNU6-674P	107
SEL1L2	14532
MIR5094	85
RNU6-542P	103
MAP4K2	24024
TMEM163	9230
MIR320D1	48
TMEM45A	10409
RNU6-410P	107
MAP4K3	17538
TMEM164	23690
SEL1L3	20541
CD33	11854
TMEM45B	5494
PNRC1-DT	504
MAP4K4	64401
TMEM165	12992
MIR320D2	48
MAP4K5	20518
EBLN1	1777
RPL29P7	457
CD34	14296
RN7SL419P	287
EBLN2	1679
MYMX	1510
MPP1	19278
CD36	36248
TMEM168	13988
CD37	15974
MPP2	38720
TMEM169	14460
MPP3	12359
RGS10	3114
CD38	9901
RGS11	15913
NUCKS1	6627
DENND6A-AS1	364
MPP4	24475
JCADP1	3980
RGS12	44651
RGS13	9656
KCNT1	83615
MPP7	25623
RGS14	12186
KCNT2	35226
FAM180A	5427
TMEM109-DT	405
RARS1P1	1418
RNU6-645P	106
FAM180B	1403
SERPINB8P1	377
RNU6-513P	104
RGS16	2408
RGS17	15705
RGS18	3983
RGS19	4157
GINM1	4532
CMKLR1	18958
OPRM1	50632
OR9H1P	9264
FOXE1	3492
CMKLR2	9205
OAZ1	12148
CD3D	2339
OAZ2	14193
FOXE3	1768
MIR3605	100
CD3E	8608
MATK	16294
OAZ3	9128
MIR3606	63
PSG10P	2783
HSD17B1P1	955
RN7SL270P	281
GOLGA8IP	5925
CD3G	8452
EPS15	15538
RPL10P1	644
ADAM10	27325
FAM151A	3419
MIR3609	80
ADAM11	14864
RNU6-616P	107
FAM151B	5839
SNORD96A	79
RPL10P2	670
CYP11B1	13982
ADAM12	21142
SNORD96B	79
RPL10P3	468
CYP11B2	2936
RPL10P4	308
HADH	62050
RPL10P5	639
STAG3L5P	4494
RPL10P6	318
ADAM15	54678
COLEC10	3803
LMLN	22893
NMT1	59509
CAVIN2-AS1	13874
RPL10P7	625
COLEC11	15952
SLC7A11-AS1	7301
COLEC12	10935
RPL10P8	313
ADAM17	46297
NMT2	10202
RPL10P9	645
ADAM18	10745
ADAM19	15169
DOCK8-AS1	5704
MIR4651	73
RNU1-151P	125
RN7SL241P	236
MIR4652	78
SNRNP40	7090
PUDPP1	495
MIR4653	83
BMP7-AS1	436
MIR4654	76
PUDPP2	1380
PUDPP3	636
MIR4655	74
NIBAN1	12029
IGHVIII-44	289
MIR4656	75
NIBAN2	10415
NIBAN3	29294
RN7SL375P	298
MIR4657	53
AKR1B1	12448
ADAM1A	2129
MIR4658	65
PRSS50	1332
ADAM1B	2000
PRSS51	8765
SNRNP48	7565
PRSS53	9452
HSP90B3P	1567
PRSS54	7595
WARS1	39574
MIR5680	84
WARS2	7826
PRSS55	4518
MIR5682	76
MGAM2	13278
PRSS56	2865
PRSS57	2131
RPS8P3	622
KNOP1P1	989
UGT1A12P	853
MIR5683	76
ATP5MF-PTCD1	3366
MIR5684	65
KNOP1P2	1317
RPS8P4	627
FAM225A	11756
PRSS58	2036
KNOP1P3	426
MIR5685	79
FAM225B	16909
TPT1P1	518
RPL17P40	413
KNOP1P4	1438
RPS8P6	609
SNORD38A	70
BCL2L12P1	733
RPL17P41	541
KNOP1P5	1378
RN7SL478P	298
MIR5687	77
TPT1P2	503
SNORD38B	136
SIX3-AS1	4548
MEPCE	6341
RN7SL346P	294
MIR5688	83
TPT1P3	512
MDGA1	41770
SNORD38C	69
RPL17P43	586
MDGA2	22433
LAP3	12489
MIR5689	78
TPT1P4	519
SNORD38D	69
RPL17P44	550
TPT1P5	521
RPL17P45	509
OR7E15P	967
TPT1P6	514
RPL17P46	544
TPT1P7	517
MIR302A	69
TPT1P8	3642
RNU2-66P	161
TBL1YP1	1026
C6orf201	9874
MIR302B	73
TPT1P9	514
MIR302C	68
RPL17P49	411
HSFY6P	403
MIR302D	68
RBPMS2	3763
MIR302E	72
RNU6-572P	80
TOR4A	4171
MIR302F	51
USP7-AS1	427
ARL6IP1P1	610
WRAP73	14644
RNU6-440P	105
ARL6IP1P2	563
RN7SL449P	286
IGF1	11542
ARL6IP1P3	560
RN7SL317P	329
IGF2	19831
GAB1	25721
GAB2	15046
COL10A1	11124
GAB3	18155
GAB4	9780
MYNN	16127
MAU2	27181
RNU2-37P	177
SPTBN1	40175
LIN7A	8561
SPTBN2	53927
LIN7B	4564
NMTRS-TGA3-1	69
TMEM171	2491
SPTBN4	39404
CD40	8863
RNU6-675P	104
LIN7C	9132
CYP17A1	11739
SPTBN5	12661
RNU6-543P	108
UQCRB-AS1	1798
RNU6-411P	107
MEGF6	19867
AHCYP2	1300
TMEM174	2222
AHCYP3	1279
TMEM175	23534
MEGF8	37249
PLEKHM1P1	22963
AHCYP4	1315
CD44	41070
MEGF9	6300
AHCYP5	1238
TMEM177	7335
OR9K1P	4158
GLRX5P1	303
CD46	44447
AHCYP7	1308
TMEM179	9545
GLRX5P2	173
NTPCR	20708
CD47	19089
LRRC37A	14034
GLRX5P3	478
RGS20	12485
AHCYP8	209
CD48	4390
OTULINL	8004
LRRC37B	29942
RGS21	1794
MIR3907	151
RGS22	25746
MIR3908	126
KCNU1	9344
NCKAP5-IT1	554
MIR3909	119
FAM181A	6903
SEM1P1	209
RPL13P2	659
RNU6-646P	106
FAM181B	3925
RNU6-514P	107
RPL13P4	562
RPL13P5	3837
AKR7A2	4733
MIR3610	73
RPL13P6	626
MIR3611	83
AKR7A3	1215
IAH1	16192
POM121L6P	1826
MIR3612	87
GUSBP1	30719
FOXF1	3520
MIR3613	87
GUSBP2	3461
MIR3614	86
FOXF2	2451
GUSBP3	1719
IMPA1P1	1174
DIDO1	35231
MIR3615	87
HSPA2-AS1	1740
EGLN3P1	720
GUSBP4	672
SCGB1C1	435
MIR3616	92
SCGB1C2	435
RPS8P10	622
CCDC169-SOHLH2	2051
GUSBP5	2567
MIR3617	79
GUSBP6	1838
RN7SL271P	295
MIR3618	88
AGFG1	19576
GUSBP7	745
MRPS30-DT	8243
MIR3619	83
ADAM20	5575
AGFG2	9853
H2AZ1-DT	7594
GUSBP8	679
ADAM21	5808
RNU6-617P	107
GUSBP9	584
GABARAP	4545
NAXD	16759
HSD17B10	9883
ADAM22	51256
HSD17B11	5820
ADAM23	9508
NAXE	47271
CASTOR1	11719
HSD17B12	15942
JAK1	76029
CA5A	6003
HSD17B13	4637
JAK2	10738
CASTOR2	8909
JAK3	19595
HSD17B14	3270
SLC16A1-AS1	21843
CA5B	13396
CASTOR3	17509
NANOGP1	2897
ADAM28	18504
ADAM29	25622
NANOGP2	727
MIR4660	74
KDM8	13020
NANOGP3	286
MIR4661	75
NANOGP4	913
RN7SL242P	297
EXOC5P1	1969
PCOLCE2	10857
NANOGP5	877
RN7SL110P	283
MIR4663	76
NANOGP6	847
MIR4664	71
NANOGP7	918
MIR4665	79
NANOGP8	2756
RN7SL376P	264
NANOGP9	892
MIR4667	66
AKR1C1	11495
GGA1	25098
VN1R104P	1009
AKR1C2	11946
MIR4668	70
GGA2	17273
MIR4669	62
AKR1C3	9878
GGA3	43239
AKR1C4	3414
MIR5690	73
NPTN	11853
MYO6	75277
MIR5691	68
MIR200A	90
SERTAD4-AS1	1730
MIR200B	95
AIFM1	64019
CASP4LP	10736
RNU1-123P	160
RN7SL213P	317
MIR5693	73
MIR200C	68
UGT1A13P	762
HESX1	3699
AIFM2	9903
AIFM3	25525
MIR5694	76
ISCU	13809
DNALI1	10659
SMIM10L2B-AS1	2502
MIR5695	85
RNU6-470P	104
NUAK1	7420
FAM226B	1490
CEP152	20617
MIR5696	85
NUAK2	3391
RPL17P50	546
RPL17P51	238
RN7SL479P	300
MIR5697	78
TRIB1	6830
MIR5698	72
TRIB2	8552
ATP1A1	16942
YTHDF1P1	1646
TRIB3	5836
MIR5699	90
ROPN1	12882
ATP1A2	18500
ATP1A3	22120
EPM2A	52528
OR7E16P	885
COL13A1	90054
ATP1A4	15088
ARIH2OS	1042
MYOC	3671
SNAP47-AS1	1708
HSFY7P	318
HMBS	47433
PYHIN5P	723
MYOF	22903
FGF10	7244
RNU6-573P	106
TRABD2A	15238
FGF11	10081
MYOG	1507
SMIM12P1	274
RNU6-441P	106
TRABD2B	8143
NPY4R	3833
FGF12	30393
FGF13	27034
PCSK1N	1417
FGF14	26978
RN7SL318P	297
ROMO1	1998
OR9N1P	814
CRTC3-AS1	1159
TRAV9-1	338
FGF16	1666
TRAV9-2	394
VEPH1	23827
FGF17	6403
FGF18	1998
KATNBL1	16220
HSD17B7P1	1017
RNU2-38P	79
FGF19	1821
HSD17B7P2	2434
NR2E1	6884
CAMSAP1	26928
TMEM181	10493
CAMSAP2	21163
TMEM182	17016
CAMSAP3	10306
NR2E3	6479
RNU6-544P	107
MYOT	8244
RNU6-412P	106
CD52	1429
ZFAND2A	5319
PTPRN2-AS1	2218
CD53	5820
TMEM186	2000
MIR3911	109
ZFAND2B	20894
IDH1	12478
IDH2	6838
MIR3912	105
OR10R1P	1141
CD55	20143
TMEM187	2222
HSF2BP	2889
EPHA1-AS1	7097
MIR3915	97
CD58	4575
MIR3916	94
CD59	39218
CRHR1	21416
MIR3917	93
DEPDC1B	7835
MIR3918	93
CRHR2	14085
KCNV1	9839
MIR4444-1	74
SSR1P1	814
FAM182A	22092
SSR1P2	787
MIR3919	89
RNASEH1-AS1	6601
KCNV2	2178
MIR4444-2	74
FAM182B	21818
RNU6-647P	107
FGF12-AS1	1135
FGF12-AS2	580
F8A1	1707
FGF12-AS3	291
F8A2	1707
WBP1P1	505
SGIP1	305289
F8A3	1707
WBP1P2	427
MIR3620	79
POM121L7P	2404
LMNA	76649
MIR3621	85
FOXG1	3491
BANK1	18354
KIF26B-AS1	810
MAPRE1	2562
MAPRE2	26199
SCGB1D1	453
SUDS3P1	966
ELN-AS1	532
SCGB1D2	455
MAPRE3	10455
SERF2	23489
RN7SL272P	289
LAP3P1	294
SCGB1D4	446
RN7SL140P	294
LAP3P2	1454
ARIH2P1	1477
FAM153A	21303
ADAM30	2983
RNU6-618P	112
FAM153B	21944
ADAM32	18552
ADAM33	15949
MRPS31P1	196
CD5L	2706
MRPS31P2	518
TREML1	3699
GJA1	11149
BHLHE22	3263
MAVS	23327
DPH3P1	249
BHLHE23	2095
TREML2	3785
MRPS31P4	1509
GJA3	5214
DPH3P2	250
POU1F1	4351
MRPS31P5	6014
TREML4	5617
GJA4	2680
CLBA1	12832
GJA5	7251
DLSTP1	1354
MIR4670	75
MIR4671	73
ATP2C2-AS1	2998
RNU1-153P	146
GJA8	1392
MIR4672	81
RN7SL111P	285
GJA9	4182
FUNDC1	2123
MIR4673	59
FAM124A	9827
FUNDC2	13542
MIR4674	87
TMED10P1	655
JPH1	6801
MIR4675	77
FAM124B	7206
JPH2	11425
TMED10P2	612
MIR4676	72
JPH3	11626
PKHD1L1	24928
RN7SL377P	278
MIR4677	80
AKR1D1	8139
VN1R105P	910
JPH4	12222
ADAM3A	17749
MIR4678	74
ADAM3B	840
COL16A1	23196
OR7E46P	1019
SEC11A	13689
SEC11B	499
SEC11C	7615
RN7SL214P	265
RNU1-124P	145
FAM227A	29553
TRPC4AP	6300
SCFD1	179093
LSM1	4925
FAM227B	15430
LSM2	4777
SMIM15P1	223
SCFD2	5912
RNU6-471P	106
LSM3	3359
SMIM15P2	193
CEP162	23766
LSM4	5712
REG1A	2833
VPREB1	1270
ZNF200	22877
LSM5	9686
ATP1B1	50961
AFG3L2P1	1763
CEP164	30555
REG1B	4460
ATP1B2	4478
LSM6	6878
VPREB3	1070
LSM7	3991
ATP1B3	9371
ZNF202	15686
LSM8	18624
ATP1B4	13257
TROAP	17474
ZNF205	8837
RNU2-68P	191
NOP53	12439
CNTD1	9735
RPL19P1	428
ZNF207	36003
MARCOL	5359
HSFY8P	318
ZNF208	13882
TRIM43CP	1028
C6orf223	11985
TLR12P	2706
MIR512-1	84
NOP56	24866
RNU6-574P	107
FGF20	2274
MIR512-2	98
FGF21	2240
RNU6-442P	104
RPL19P4	584
NPY5R	6491
FGF22	4329
C6orf226	557
RNU6-310P	107
NOP58	7925
NSMAF	20226
RPL19P5	498
FGF23	4959
RAVER1	15427
RN7SL319P	221
OR10U1P	905
MIR16-1	89
RAVER2	11291
GAD1	24976
MSR1	17685
CST12P	362
MIR16-2	81
VTRNA2-2P	103
GAD2	11474
MISP3	5842
MYPN	54063
ADH5P2	1124
ANOS2P	6104
ADH5P3	1137
RNU2-39P	198
OR8B12	2213
SSR4P1	3639
TMEM190	605
KDM5C-IT1	755
ADH5P4	1110
RABGAP1	15743
NR2F1	8329
ADH5P5	352
NR2F2	13096
RNU6-677P	101
TMEM192	12967
RNU6-545P	104
SIRT1	15571
LMO1	3887
SIRT2	22682
RNU6-413P	107
LMO2	8096
LMO3	53365
CD63	12311
MIR3920	86
BMP8B-AS1	1218
SIRT3	18635
ZW10	6500
NR2F6	3114
PYY2	1358
SIRT4	2452
MIR3921	85
IDI1	8645
LMO4	7770
TMEM196	10479
MIR3922	84
PXYLP1	30320
SIRT5	84352
IDI2	1356
PYY3	213
SIRT6	17318
MIR3923	83
TMEM198	6168
PLA2G12AP1	568
SIRT7	23512
TMEM199	8127
LMO7	60566
PLA2G12AP2	264
MIR3924	81
RPSAP1	880
CD68	4949
MIR3925	77
CD69	4263
RPSAP2	888
MSRA	10072
IGHD	1678
RPSAP3	887
MIR3927	71
SIGIRR	20216
MIR3928	58
RN7SL170P	295
IGHE	2897
RPSAP4	888
SNORA30B	129
MIR3929	55
RPSAP5	884
FAM183A	2855
HEXD-IT1	1813
RNU6-648P	107
RPSAP6	882
RNU6-516P	104
RPSAP7	885
RPSAP8	889
RPSAP9	888
POM121L8P	1281
POU4F1	4539
IGHM	3171
POU4F2	3144
FOXH1	2509
FLJ31104	6355
POU4F3	2575
ATP2B2-IT1	472
ATP2B2-IT2	866
TRMT10A	13454
TRMT10B	12175
RN7SL273P	299
LYL1	3930
TRMT10C	2830
RN7SL141P	266
LRRCC1	16530
RNU6-619P	108
OR8B1P	2096
HAGH	13500
PCBD1	1908
GJB1	22609
PCBD2	9308
JAM2	13213
GJB2	4608
COL19A1	11650
JAM3	11460
GJB3	3989
IFNA20P	528
HPCA	3528
RPL15P13	645
THBS1-IT1	733
CAB39L	21608
GJB4	1444
RPL15P14	636
GJB5	1355
GJB6	21528
MIR4680	66
NME1-NME2	3108
GJB7	3524
MIR4681	72
RUNX2-AS1	1513
OLA1P1	1189
SNRNP70	15136
PHLPP1	11433
RPL15P18	612
RNU1-154P	167
RN7SL244P	297
MIR4682	80
OLA1P2	1264
PHLPP2	30804
MIR4683	81
OLA1P3	2555
MIR4684	82
TCF3P1	1937
NPVF	1190
MIR4685	69
SNORD109A	67
DNAJC9-AS1	5273
MIR4686	76
MPST	15667
ZNF500	14191
SNORD109B	67
RN7SL378P	298
MIR4687	80
ZNF501	7474
MIR4688	83
AKR1E2	11862
DEDD2	13085
ZNF502	10190
MIR4689	70
OR7E47P	2596
ZNF503	3205
TRRAP	77963
ZNF529-AS1	6475
ZNF506	21900
ZNF507	27780
OPRPN	2333
RNU1-125P	129
RN7SL215P	298
MIR515-1	83
FAM228A	3779
CEP170	45741
MIR515-2	83
RNU6-472P	107
FAM228B	11453
RNU6-340P	107
UBE2V1P10	269
ZNF211	24382
UBE2V1P11	285
UBE2V1P12	474
JAML	21666
ZNF212	5444
OR7E18P	702
ZNF213	23627
UBE2V1P13	439
UBE2V1P14	558
ZNF214	8548
RNU2-69P	100
UBE2V1P15	448
ZNF215	17796
UBE2V1P16	251
ZNF217	13516
PCDH8P1	3251
LSM3P2	273
VIPAS39	17164
ZNF219	16724
LSM3P3	306
RNU6-575P	105
AA06	632
LSM3P4	309
NPY6R	4104
LSM3P5	306
RNU6-311P	102
MRPL23-AS1	1920
CST13P	2737
KIAA2012-AS1	4640
SDR42E1P1	477
F10-AS1	417
SDR42E1P2	481
FIP1L1	20390
SDR42E1P3	502
ANKRD11P1	6848
CYB5D1	7643
SDR42E1P4	481
ANKRD11P2	988
CD70	2364
MIR2909	69
CYB5D2	5743
RNU6-678P	109
SDR42E1P5	866
RNU6-546P	107
IRF2-DT	2503
TBC1D22A	20669
GGCT	7432
RNU6-414P	104
CD72	9091
TBC1D22B	3462
DROSHA	26182
CD74	17698
OR10R3P	942
FRRS1	11609
GGCX	73194
TRMT112	4118
ANKH-DT	382
MIR3934	107
MIR3935	104
NYNRIN	8060
MIR3936	110
RPS7P10	603
NFYAP1	972
MIR3937	106
RPS7P11	586
SNORA31B	134
MIR3938	103
FAM184A	32045
RPS7P12	582
MIR3939	106
RNU6-649P	107
FAM184B	6731
RPS7P13	498
HDGF	13405
RNU6-517P	110
RPS7P14	583
RPS7P15	584
DLX6-AS1	45334
POM121L9P	7073
SUZ12P1	7450
HSCB	5966
FOXI1	4330
FOXI2	3264
TRIM67-AS1	1348
FOXI3	2841
MIR3646	84
IGIP	3456
KYNUP1	1406
RN7SL274P	272
KYNUP2	1329
PHF5CP	325
KYNUP3	1341
MIR3649	66
RERE-AS1	2007
BHLHE40	4914
SAMSN1-AS1	840
RPL15P20	598
BHLHE41	4531
WT1-AS	12832
ZNF800	14551
FAM120AOS	26674
GJC1	23960
RPL15P21	567
MEAK7	14015
HNRNPA3P10	1138
HNRNPA3P11	934
LGR4	12581
PSD2-AS1	3691
GJC2	2165
CASP1P1	212
SLCO1A2	33785
LGR5	15016
GJC3	1119
CASP1P2	1258
GPAM	12901
HNRNPA3P12	1063
LGR6	15588
HNRNPA3P13	1122
ZNF805	12565
HNRNPA3P14	1150
MIR1302-10	138
PTF1A	3920
ZNF806	8504
MIR4690	60
HNRNPA3P15	1026
BPY2DP	265
MIR1302-11	138
HNRNPA3P16	1016
MIR4691	85
ZNF808	10152
RNU1-155P	135
MIR4692	63
CBX3P1	554
CBX3P2	1964
RN7SL113P	299
MIR4693	75
IGHVIII-82	250
MIR4694	80
FAM126A	62253
CBX3P3	532
SRP54-AS1	10936
CBX3P4	777
MIR4695	74
FAM126B	31869
RNU6-370P	104
XKRYP1	492
CBX3P5	521
MIR4696	70
XKRYP2	492
ZNF510	13253
RN7SL379P	293
MIR4697	78
CBX3P6	527
XKRYP3	1116
VN1R107P	209
MIR4698	80
